Date,Price,Open,High,Low,Vol
3/1/2017,11235.8,10642.5,11235.8,10642.5,6230000
4/1/2017,11458.3,11347.1,11643.7,11347.1,5880000
5/1/2017,11421.2,11384.1,11643.7,11272.9,2500000
6/1/2017,11680.8,11272.9,11903.3,11272.9,7970000
9/1/2017,12014.5,11717.9,12162.9,11717.9,7750000
10/1/2017,11940.4,11940.4,12014.5,11829.1,3110000
11/1/2017,12311.2,12014.5,12311.2,11903.3,9170000
12/1/2017,12237,12311.2,12311.2,12162.9,4450000
13/01/2017,12051.6,12237,12274.1,11977.5,4290000
16/01/2017,11717.9,12051.6,12088.7,11717.9,3450000
17/01/2017,12459.5,11940.4,12496.6,11829.1,8220000
18/01/2017,12199.9,12459.5,12830.3,12199.9,6950000
19/01/2017,12199.9,12125.8,12348.3,12088.7,2510000
20/01/2017,12348.3,12237,12533.7,12162.9,4060000
23/01/2017,12496.6,12385.4,12607.9,12311.2,4290000
24/01/2017,12607.9,12496.6,12719.1,12496.6,3940000
25/01/2017,12533.7,12607.9,12607.9,12237,3050000
2/2/2017,12756.2,12533.7,12756.2,12348.3,3810000
3/2/2017,12756.2,12756.2,13015.8,12644.9,5100000
6/2/2017,12756.2,12756.2,12904.5,12607.9,3640000
7/2/2017,12682,12644.9,12867.4,12570.8,4470000
8/2/2017,12607.9,12682,12756.2,12496.6,4670000
9/2/2017,12496.6,12607.9,12719.1,12496.6,4900000
10/2/2017,12682,12496.6,12719.1,12459.5,4880000
13/02/2017,12496.6,12682,12719.1,12496.6,2960000
14/02/2017,12607.9,12533.7,12644.9,12496.6,4340000
15/02/2017,12867.4,12570.8,12904.5,12496.6,4860000
16/02/2017,12607.9,12793.3,12941.6,12607.9,5290000
17/02/2017,12533.7,12533.7,12644.9,12422.4,2910000
20/02/2017,12311.2,12459.5,12496.6,12237,5430000
21/02/2017,12385.4,12348.3,12496.6,12348.3,4360000
22/02/2017,12311.2,12422.4,12459.5,12237,2550000
23/02/2017,12348.3,12311.2,12385.4,12125.8,2410000
24/02/2017,12348.3,12237,12459.5,12237,3420000
27/02/2017,12385.4,12237,12385.4,12199.9,1630000
28/02/2017,12199.9,12348.3,12385.4,12162.9,1730000
1/3/2017,12088.7,12199.9,12199.9,11940.4,3740000
2/3/2017,11903.3,12162.9,12237,11903.3,2970000
3/3/2017,12162.9,11940.4,12162.9,11717.9,4140000
6/3/2017,12311.2,12311.2,12385.4,12162.9,3350000
7/3/2017,12237,12311.2,12311.2,12162.9,1550000
8/3/2017,12311.2,12162.9,12422.4,12088.7,2630000
9/3/2017,12459.5,12311.2,12570.8,12274.1,5830000
10/3/2017,12274.1,12533.7,12533.7,12274.1,2780000
13/03/2017,12237,12237,12274.1,12088.7,1730000
14/03/2017,12162.9,12125.8,12237,12088.7,2760000
