Date,Price,Open,High,Low,Vol
1/3/2017,16158.2,15960.1,16194.3,15960.1,2340
1/4/2017,16302.3,16140.2,16464.5,16104.2,2360
1/5/2017,16248.3,16284.3,16356.4,16248.3,1420
1/6/2017,16194.3,16284.3,16392.4,16194.3,1850
1/9/2017,16284.3,16230.3,16356.4,16176.2,1160
1/10/2017,16572.5,16302.3,16572.5,16266.3,2410
1/11/2017,16608.6,16680.6,16788.7,16608.6,1710
1/12/2017,16554.5,16608.6,16644.6,16518.5,1250
1/13/2017,16176.2,16608.6,16716.7,16104.2,3790
1/16/2017,15852,16176.2,16176.2,15852,2070
1/17/2017,15996.1,15852,16140.2,15852,1200
1/18/2017,15779.9,16104.2,16104.2,15779.9,1150
1/19/2017,15779.9,15779.9,15852,15653.9,1360
1/20/2017,15924.1,15779.9,16032.1,15761.9,1530
1/23/2017,16014.1,15996.1,16068.2,15924.1,1060
1/24/2017,16104.2,16104.2,16176.2,15960.1,647.59
1/25/2017,16248.3,16176.2,16320.4,16086.2,973.74
2/2/2017,16176.2,16284.3,16356.4,16068.2,1130
2/3/2017,16104.2,16104.2,16176.2,15996.1,1150
2/6/2017,15960.1,16032.1,16032.1,15924.1,1280
2/7/2017,16032.1,15942.1,16104.2,15942.1,2120
2/8/2017,16068.2,16068.2,16194.3,16014.1,1340
2/9/2017,16050.2,16068.2,16104.2,16032.1,1840
2/10/2017,16014.1,16032.1,16068.2,15942.1,1420
2/13/2017,16140.2,16068.2,16158.2,15996.1,1950
2/14/2017,16716.7,16212.3,16716.7,16176.2,4480
2/15/2017,16572.5,16752.7,16752.7,16500.5,2670
2/16/2017,16320.4,16572.5,16662.6,16320.4,2570
2/17/2017,16320.4,16284.3,16392.4,16176.2,1880
2/20/2017,16230.3,16320.4,16356.4,16212.3,1710
2/21/2017,16356.4,16320.4,16536.5,16230.3,2440
2/22/2017,16500.5,16464.5,16680.6,16356.4,2840
2/23/2017,16572.5,16536.5,16698.6,16446.5,2410
2/24/2017,16572.5,16572.5,16608.6,16392.4,2150
2/27/2017,16770.7,16572.5,16896.8,16572.5,4140
2/28/2017,16518.5,16788.7,16860.8,16500.5,1820
3/1/2017,16464.5,16518.5,16536.5,16338.4,1880
3/2/2017,16374.4,16464.5,16536.5,16356.4,1440
3/3/2017,16446.5,16374.4,16536.5,16266.3,924.47
3/6/2017,16554.5,16446.5,16608.6,16446.5,1200
3/7/2017,16500.5,16572.5,16572.5,16410.4,1090
3/8/2017,16500.5,16464.5,16572.5,16410.4,1120
