Date,Price,Open,High,Low,Vol
1/3/2017,8912.8,8912.8,9043.9,8847.3,917.4
1/4/2017,9175,8912.8,9306.1,8912.8,3.04
1/5/2017,9371.6,9240.5,9437.1,9175,2.96
1/6/2017,9175,9437.1,9437.1,9175,1.08
1/9/2017,9240.5,9175,9371.6,9175,1.23
1/10/2017,9437.1,9240.5,9502.7,9175,2.46
1/11/2017,9568.2,9437.1,9633.7,9437.1,1.84
1/12/2017,9371.6,9502.7,9568.2,9371.6,754.42
1/13/2017,9240.5,9437.1,9437.1,9240.5,942.19
1/16/2017,9109.4,9175,9371.6,9109.4,1.08
1/17/2017,9043.9,9175,9175,9043.9,1.26
1/18/2017,8978.4,9109.4,9109.4,8978.4,997.92
1/19/2017,8912.8,8978.4,9043.9,8781.8,700.6
1/20/2017,9109.4,8912.8,9240.5,8912.8,1.19
1/23/2017,9043.9,9109.4,9175,8912.8,849.37
1/24/2017,9043.9,9043.9,9109.4,8912.8,497.53
1/25/2017,9175,9109.4,9175,9043.9,561.33
2/2/2017,9240.5,9240.5,9306.1,9109.4,1.42
2/3/2017,9109.4,9240.5,9240.5,9043.9,1.15
2/6/2017,9306.1,9109.4,9306.1,9109.4,1.66
2/7/2017,9764.8,9371.6,10026.9,9306.1,6.55
2/8/2017,9961.4,9895.9,10158,9699.3,3.29
2/9/2017,9764.8,10026.9,10026.9,9764.8,1.45
2/10/2017,9961.4,9764.8,10026.9,9764.8,2.32
2/13/2017,10354.6,10026.9,10551.2,9961.4,4.63
2/14/2017,10354.6,10420.2,10551.2,10223.6,1.96
2/15/2017,10354.6,10354.6,10551.2,10223.6,2.06
2/16/2017,10092.5,10420.2,10551.2,10092.5,3.35
2/17/2017,10223.6,10223.6,10354.6,10158,2.82
2/20/2017,10682.3,10223.6,10813.4,10223.6,3.99
2/21/2017,10551.2,10747.8,10813.4,10551.2,2.31
2/22/2017,10354.6,10551.2,10616.8,10223.6,2.72
2/23/2017,10223.6,10289.1,10420.2,10026.9,3.32
2/24/2017,10092.5,10223.6,10289.1,9961.4,2.24
2/27/2017,10158,10092.5,10289.1,10092.5,1.12
2/28/2017,9961.4,10485.7,10485.7,9961.4,1.3
3/1/2017,9830.3,10026.9,10026.9,9764.8,2.25
3/2/2017,10158,10092.5,10223.6,9830.3,2.33
3/3/2017,9961.4,10158,10158,9961.4,1.28
3/6/2017,10289.1,10026.9,10354.6,10026.9,2.39
3/7/2017,10485.7,10289.1,10551.2,10223.6,4.19
3/8/2017,10420.2,10485.7,10813.4,10354.6,5.66
3/9/2017,10420.2,10420.2,10551.2,10354.6,2.16
3/10/2017,10485.7,10420.2,10747.8,10354.6,3.56
3/13/2017,10289.1,10485.7,10551.2,10289.1,2.45
3/14/2017,10354.6,10289.1,10354.6,10158,1.64
3/15/2017,10223.6,10354.6,10354.6,10158,1.81
3/16/2017,10420.2,10223.6,10485.7,10223.6,1.72
3/17/2017,10747.8,10485.7,10878.9,10485.7,9.35
3/20/2017,10813.4,10878.9,11141.1,10813.4,3.85
3/21/2017,10944.4,10878.9,10944.4,10682.3,2.31
3/22/2017,10616.8,10944.4,11206.6,10616.8,4.76
3/23/2017,10747.8,10616.8,10747.8,10551.2,1.99
