"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2023","20,300.0","20,000.0","20,800.0","20,000.0","14.58M","2.53%"
"06/16/2023","19,800.0","19,950.0","20,300.0","19,650.0","9.51M","0.76%"
"06/15/2023","19,650.0","19,700.0","19,900.0","19,500.0","5.14M","-0.76%"
"06/14/2023","19,800.0","20,300.0","20,300.0","19,800.0","9.99M","-0.09%"
"06/13/2023","19,818.0","20,136.0","20,136.0","19,636.0","13.93M","-9.92%"
"06/12/2023","22,000.0","21,600.0","22,200.0","21,450.0","14.67M","2.56%"
"06/09/2023","21,450.0","21,600.0","21,700.0","21,000.0","11.07M","-0.23%"
"06/08/2023","21,500.0","22,600.0","22,600.0","21,500.0","20.48M","-4.23%"
"06/07/2023","22,450.0","22,200.0","22,750.0","22,150.0","15.28M","2.98%"
"06/06/2023","21,800.0","21,500.0","21,800.0","21,350.0","11.33M","1.40%"
"06/05/2023","21,500.0","22,000.0","22,200.0","21,500.0","8.73M","-0.92%"
"06/02/2023","21,700.0","21,300.0","21,800.0","20,900.0","17.16M","4.08%"
"06/01/2023","20,850.0","20,950.0","21,150.0","20,750.0","10.01M","-0.24%"
"05/31/2023","20,900.0","21,250.0","21,700.0","20,850.0","11.12M","-1.42%"
"05/30/2023","21,200.0","21,250.0","21,400.0","20,950.0","10.75M","0.47%"
"05/29/2023","21,100.0","21,000.0","21,400.0","20,750.0","14.09M","1.69%"
"05/26/2023","20,750.0","20,800.0","21,200.0","20,650.0","9.55M","0.73%"
"05/25/2023","20,600.0","20,200.0","20,850.0","20,050.0","14.34M","1.73%"
"05/24/2023","20,250.0","20,300.0","20,600.0","20,150.0","10.93M","0.00%"
"05/23/2023","20,250.0","20,600.0","20,650.0","20,150.0","8.19M","-1.46%"
"05/22/2023","20,550.0","19,700.0","20,700.0","19,650.0","15.80M","5.38%"
"05/19/2023","19,500.0","19,350.0","19,600.0","19,200.0","4.29M","1.04%"
"05/18/2023","19,300.0","19,400.0","19,600.0","19,300.0","4.48M","0.00%"
"05/17/2023","19,300.0","19,900.0","19,950.0","19,300.0","7.87M","-2.77%"
"05/16/2023","19,850.0","19,950.0","20,250.0","19,800.0","5.88M","-0.25%"
"05/15/2023","19,900.0","20,400.0","20,500.0","19,900.0","5.86M","-0.75%"
"05/12/2023","20,050.0","19,600.0","20,300.0","19,600.0","9.41M","1.78%"
"05/11/2023","19,700.0","19,800.0","19,900.0","19,650.0","7.70M","0.00%"
"05/10/2023","19,700.0","19,700.0","19,850.0","19,500.0","5.54M","0.25%"
"05/09/2023","19,650.0","19,700.0","19,900.0","19,600.0","4.46M","0.51%"
"05/08/2023","19,550.0","19,250.0","19,550.0","19,250.0","4.11M","2.09%"
"05/05/2023","19,150.0","19,200.0","19,350.0","19,150.0","2.25M","-0.78%"
"05/04/2023","19,300.0","19,050.0","19,550.0","18,950.0","4.22M","0.78%"
"04/28/2023","19,150.0","19,400.0","19,400.0","19,100.0","3.85M","-0.26%"
"04/27/2023","19,200.0","19,300.0","19,550.0","19,200.0","3.39M","-0.52%"
"04/26/2023","19,300.0","18,900.0","19,300.0","18,750.0","2.99M","2.12%"
"04/25/2023","18,900.0","19,150.0","19,400.0","18,900.0","3.73M","-0.53%"
"04/24/2023","19,000.0","19,200.0","19,350.0","18,850.0","4.73M","-1.04%"
"04/21/2023","19,200.0","19,600.0","19,700.0","19,050.0","7.57M","-2.04%"
"04/20/2023","19,600.0","19,750.0","19,850.0","19,500.0","2.97M","-0.51%"
"04/19/2023","19,700.0","20,200.0","20,200.0","19,700.0","4.15M","-2.23%"
"04/18/2023","20,150.0","19,600.0","20,250.0","19,500.0","12.31M","3.33%"
"04/17/2023","19,500.0","19,600.0","19,800.0","19,400.0","4.33M","0.00%"
"04/14/2023","19,500.0","20,000.0","20,050.0","19,500.0","8.31M","-2.01%"
"04/13/2023","19,900.0","20,100.0","20,200.0","19,900.0","4.76M","-1.00%"
"04/12/2023","20,100.0","20,200.0","20,400.0","20,000.0","9.04M","0.00%"
"04/11/2023","20,100.0","19,950.0","20,150.0","19,800.0","7.53M","0.75%"
"04/10/2023","19,950.0","21,000.0","21,150.0","19,950.0","21.14M","-4.55%"
